url;company;make;model;version;price;price_financed;fuel;year;kms;power;doors;shift;color;photos;is_professional;dealer;province;country;publish_date;insert_date
9df64689ac5768546723b844d76a1b9b;9881bcdd5a0ad4733037b3fb25e69c3a;KIA;Sportage;KIA Sportage  5p.;4500;;Diésel;2008;128000;;5;Manual;Gris / Plata;5;FALSO;464e07afc9e46359fb480839150595c5;Huelva;Spain;14/1/21 5:38;15/1/21 0:00
c06fa8ce68afe3d222467ebca752f57b;9881bcdd5a0ad4733037b3fb25e69c3a;BMW;Serie 5;BMW Serie 5 520D 4p.;18900;;Diésel;2014;99800;190;4;Automático;Azul;29;VERDADERO;Car Buil;Asturias;Spain;11/1/21 23:39;15/1/21 0:00
aa2d9c6db5121782eafc98cf1ca9fca6;9881bcdd5a0ad4733037b3fb25e69c3a;PEUGEOT;508 Hybrid;PEUGEOT 508 Hybrid SW GT Line 225 eEAT8 5p.;37000;36000;Híbrido enchufable;2020;1200;225;5;Automático;Blanco (Blanco nacarado);22;VERDADERO;Cover Peugeot;Pontevedra;Spain;8/1/21 13:28;15/1/21 0:00
a8d463e5dd7d8c4944588ab20ff3b27a;9881bcdd5a0ad4733037b3fb25e69c3a;PEUGEOT;308;PEUGEOT 308 SW Style 1.6 BlueHDi 120 EAT6 5p.;6750;6750;Diésel;2015;215000;120;5;Automático;Negro;9;VERDADERO;Automóviles Carstro;Córdoba;Spain;5/1/21 17:11;15/1/21 0:00
0d17809a4a1de7ef2c63f342f306713c;9881bcdd5a0ad4733037b3fb25e69c3a;KIA;XCeed;KIA XCeed 1.6 GDi PHEV 104kW 141CV eMotion 5p.;32300;28800;Híbrido enchufable;2021;2800;141;5;Manual;Cassa White (WD);6;VERDADERO;Talleres M Gallego;Murcia;Spain;17/12/20 8:46;15/1/21 0:00
89a2af5f2249dbcc713d99bfa0cbc33a;9881bcdd5a0ad4733037b3fb25e69c3a;OPEL;Insignia;OPEL Insignia 1.6 CDTI SS 88kW 120CV Business 5p.;9500;9400;Diésel;2016;101859;120;5;Manual;Blanco (Sensor Parking);21;VERDADERO;KARFER MOTOR;Madrid;Spain;8/1/21 13:58;15/1/21 0:00
bbd08fe0011ad36aea74663cd7291478;9881bcdd5a0ad4733037b3fb25e69c3a;VOLKSWAGEN;Golf;VOLKSWAGEN Golf Variant Advance 1.6 TDI 110CV BMT 5p.;11300;;Diésel;2016;77867;110;5;Manual;Z2Z2 Azul Noche (metalizado);26;VERDADERO;CarNext.com;Barcelona;Spain;30/12/20 18:04;15/1/21 0:00
7953b1ccdeeed4cd4ddf310671fa2a27;9881bcdd5a0ad4733037b3fb25e69c3a;RENAULT;Clio;RENAULT Clio Limited 1.2 16v 55kW 75CV 18 5p.;9500;8500;Gasolina;2018;43543;75;5;Manual;Gris / Plata;22;VERDADERO;SEAT Barbera, Ripollet, Manresa, Rubi, Sant Cugat;Barcelona;Spain;7/1/21 11:38;15/1/21 0:00
218ae388f9b1c01137042b4a16c45b77;9881bcdd5a0ad4733037b3fb25e69c3a;PEUGEOT;1007;PEUGEOT 1007 1.6 Sporty 2Tronic 3p.;4200;;Gasolina;2007;118000;110;3;Manual;Negro;13;VERDADERO;ROLLANDI CARS;Baleares;Spain;8/1/21 11:42;15/1/21 0:00
24b5f50178eb609b03aae7f166190266;9881bcdd5a0ad4733037b3fb25e69c3a;PEUGEOT;Rifter;PEUGEOT Rifter GT Standard BlueHDi 96kW 5p.;26995;23890;Diésel;2021;1;130;5;Manual;Gris / Plata (GRIS ARTENSE);19;VERDADERO;PSA Retail Zaragoza;Zaragoza;Spain;12/1/21 17:04;15/1/21 0:00
abf10d5d106e69a748194072f8d3e38e;9881bcdd5a0ad4733037b3fb25e69c3a;VOLKSWAGEN;Golf Sportsvan;VOLKSWAGEN Golf Sportsvan Business  Navi 1.6 TDI BMT 5p.;14900;;Diésel;2016;155000;115;5;Manual;Gris / Plata;9;VERDADERO;Grupo Vela;León;Spain;1/1/21 21:05;15/1/21 0:00
cf4011e419b9e3706dd254cd37ee8eed;9881bcdd5a0ad4733037b3fb25e69c3a;OPEL;Crossland X;OPEL Crossland X 1.2 60kW 81CV Design Line 120 Anivers. 5p.;19150;17150;Gasolina;2019;13871;81;5;Manual;Gris / Plata;25;VERDADERO;Integral Motion;A Coruña;Spain;20/11/20 18:13;15/1/21 0:00
0772a05d0be8c18d13abddc856fc89ed;9881bcdd5a0ad4733037b3fb25e69c3a;SEAT;León;SEAT Leon 1.6 TDI 110cv StSp Style 5p.;10500;9990;Diésel;2016;127000;110;5;Manual;Blanco;27;VERDADERO;Autocasionplus.net;Cantabria;Spain;8/1/21 21:18;15/1/21 0:00
0638676c9d7181f06363768bd6aa62b0;9881bcdd5a0ad4733037b3fb25e69c3a;MERCEDES-BENZ;Clase A;MERCEDES-BENZ Clase A  5p.;29700;;Diésel;2019;14743;;5;Automático;Blanco (Blanco digital);19;VERDADERO;Adarsa;Lugo;Spain;14/1/21 10:10;15/1/21 0:00
c0793fce27c36571a14abc15b24f4da6;9881bcdd5a0ad4733037b3fb25e69c3a;SEAT;León;SEAT Leon 2.0 TDI 110kW DSG7 SS FR Go L 5p.;26400;24400;Diésel;2020;50;150;5;Automático;Negro;14;VERDADERO;Euromovil Talavera;Toledo;Spain;12/1/21 18:47;15/1/21 0:00
